method,raw_mean_mean,raw_mean_std,raw_sd_mean,raw_sd_std,centered_mean,centered_sd,paper_ref,n_seeds
MeanDiff,0.9545500217,1.359739956e-16,0.01698617417,0,0.9952272727,0.005856408512,0.8,3
KMeans,0.4970770442,0.001395752527,0.03228086519,0.002441374045,0.9952272727,0.005856408512,0.78,3
LogReg,0.9764040412,0,0.02093179363,0,0.9976744186,0.004651162791,0.89,3
PCA,0.6787593216,0,0.05973499389,0,0.9927272727,0.009896155026,0.81,3
