row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.9125351357,0.0009032386935,-0.1145075473,0.0007357965751,3
neutral-negative,-0.9125351357,0.0009032386935,1,0,0.6302813789,0.004886601264,3
positive-negative,-0.1145075473,0.0007357965751,0.6302813789,0.004886601264,1,0,3
