layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.8708405495,0.2360850573,0.2720777988
2,-0.8095554113,0.2062900066,0.4074134827
3,-0.7276004553,0.1987071633,0.5277421474
4,-0.6694573164,0.2044999599,0.5902475119
5,-0.5273873806,0.2931624651,0.6576846242
6,-0.529034853,0.3080965281,0.6443263292
7,-0.4043238163,0.317786634,0.7387155294
8,-0.3601266146,0.3179252744,0.7700071335
9,-0.3062963486,0.3519673347,0.7832176685
10,-0.3054771423,0.3557036519,0.78126508
11,-0.2263089418,0.3799991608,0.8149914742
12,-0.2238938808,0.385006845,0.8132835031
13,-0.2286176682,0.3543335795,0.8293467164
14,-0.230240345,0.3529903889,0.8292174935
15,-0.1930394173,0.3510712385,0.8509662747
16,-0.1902549267,0.3777151108,0.8371475339
17,-0.2116379738,0.3476076126,0.8428337574
18,-0.1825506687,0.3551879525,0.8542471528
19,-0.2073124647,0.3254830837,0.8575289249
20,-0.1921983957,0.320497632,0.8679897189
21,-0.2109001875,0.3219512701,0.8575617671
22,-0.2099825144,0.3195390701,0.8593494892
