component,variance_ratio,cumulative
1,0.1479392775,0.1479392775
2,0.07248800488,0.2204272824
3,0.03972317527,0.2601504576
4,0.03803366364,0.2981841213
5,0.03288012236,0.3310642436
6,0.02611616569,0.3571804093
7,0.0241120561,0.3812924654
8,0.02115106742,0.4024435329
