perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,0.0381929052,0.02852167685,-0.3413904972,0.2361111111,0.84402719,0.5939602245
1,0.03773822776,0.03031085953,-0.4275796071,0.2777777778,0.8488752901,0.6389792392
2,0.02491632387,0.01694461245,-0.6254879525,0.2361111111,0.8332228915,0.6714597723
3,0.1135784252,0.08167092707,-0.2187956792,0.2777777778,0.856106337,0.6686014255
4,-0.09084455309,-0.06946238643,-0.4771603756,0.2638888889,0.8990549193,0.5659780409
5,-0.04446745391,-0.03357348677,-0.4785976927,0.2638888889,0.8516867521,0.5619585393
6,-0.02637129169,-0.02157543821,-0.6919888141,0.3194444444,0.8104826012,0.6700771221
7,0.03655606641,0.02767970853,-0.6373353193,0.2916666667,0.8734196867,0.6035325281
8,-0.2056051397,-0.1617631635,-0.4859093088,0.375,0.8567095166,0.572173738
9,-0.115579006,-0.0904063484,-0.3704845399,0.3333333333,0.8393879245,0.6325255947
10,0.1268550066,0.1009309524,-0.2605391361,0.2777777778,0.8567095166,0.5888671076
11,-0.2928122732,-0.2262789861,-0.4942600424,0.3888888889,0.8529997025,0.6978841068
12,-0.08420626242,-0.06441057651,-0.6712719094,0.3888888889,0.8797298528,0.5737196569
13,-0.001091225863,-0.0004209841602,-0.2234966837,0.3888888889,0.8071153033,0.5817167712
14,0.0883892949,0.06830467999,-0.2336686548,0.2777777778,0.8845051094,0.5263840802
15,0.1953294295,0.1539749566,-0.2664972619,0.2916666667,0.8540432268,0.6632430023
16,0.1073038765,0.08409158599,-0.3097133248,0.25,0.8237826836,0.597015733
17,-0.1534081692,-0.1193490094,-0.6715292026,0.2916666667,0.8225165038,0.5860384864
18,0.1187617481,0.09219553108,-0.3795458758,0.2638888889,0.8590975101,0.6353963805
19,0.143496201,0.1101926039,-0.4240285082,0.2361111111,0.8792853281,0.6988263417
20,0.05456129315,0.04041447938,-0.4207376681,0.2777777778,0.8411824574,0.5164438065
21,0.1556815564,0.1213486842,-0.3061101339,0.2916666667,0.8428407798,0.6575100972
22,0.1560452984,0.1185070411,-0.3507465121,0.375,0.8362477684,0.7828442985
23,0.04364903452,0.03346824073,-0.4165154863,0.3333333333,0.8555746772,0.588868882
24,-0.1617742342,-0.1246113114,-0.3061386317,0.3333333333,0.8652299662,0.6373295665
25,0.03510109859,0.02515380357,-0.3866027064,0.2222222222,0.858992227,0.5555010942
26,0.01845990418,0.01410296937,-0.3285617059,0.3333333333,0.8071153033,0.5811273396
27,-0.0230976141,-0.01694461245,-0.2940618739,0.3472222222,0.8619585351,0.6582681621
28,-0.1489523303,-0.113034247,-0.5260986432,0.2222222222,0.8172834659,0.5790095893
29,-0.1236722645,-0.09493192812,-0.2313286872,0.4861111111,0.8915581914,0.6303648583
30,-0.06119958381,-0.0496761309,-0.5674932775,0.2361111111,0.8566182015,0.5310514792
31,-0.06092677735,-0.0454662893,-0.5397668736,0.4027777778,0.8566182015,0.5954075724
32,0.0111850651,0.007051484683,-0.5864930279,0.1805555556,0.8625617147,0.5825063225
33,0.03928413107,0.02988987537,-0.4345769308,0.2361111111,0.8347268517,0.6807855446
34,-0.2513456904,-0.1924950072,-0.5480889148,0.2638888889,0.8584803626,0.67242438
35,0.09266326286,0.07062009287,-0.3919585009,0.2638888889,0.8583890474,0.5905192714
36,-0.1349482651,-0.1082981752,-0.7480798839,0.3055555556,0.8854410572,0.5712213265
37,-0.06301829358,-0.04683448782,-0.2792218621,0.2638888889,0.8990549193,0.5433105135
38,0.09348168226,0.07188304535,-0.5806126342,0.2638888889,0.8347268517,0.7162955668
39,-0.09048081114,-0.06914664831,-0.344195696,0.2361111111,0.8582001046,0.5489766513
40,0.1045758119,0.07893453003,-0.2901197842,0.3055555556,0.8537304569,0.6900586038
41,0.1039392634,0.08051322063,-0.2704218978,0.3055555556,0.833916039,0.6243052446
42,0.02809906597,0.02262789861,-0.4495074107,0.2777777778,0.8984190027,0.652852306
43,0.09129923053,0.07030435475,-0.5029919438,0.2916666667,0.8535313624,0.5623238517
44,-0.1277643615,-0.09714209496,-1.078850929,0.2222222222,0.8652299662,0.5557377881
45,0.1282190389,0.09956275388,-0.4116824116,0.3194444444,0.8482687315,0.6304311608
46,-0.1959659779,-0.1518700358,-0.5156238781,0.2777777778,0.8435339273,0.5492449817
47,0.002182451726,0.003578365361,-0.536871388,0.1527777778,0.8575854431,0.5801473586
48,0.02264293666,0.01641838225,-0.3824715344,0.3194444444,0.8332228915,0.5673248224
49,0.05619813194,0.04430858286,-0.437952815,0.2777777778,0.8506202013,0.652803985
50,0.1284009099,0.0967211108,-0.1863699995,0.4305555556,0.8547739812,0.5647061049
51,-0.159137105,-0.120822454,-0.9112374503,0.2361111111,0.9251984571,0.6636335988
52,-0.1083951024,-0.08303912559,-0.2697511127,0.4027777778,0.8556659924,0.6412978805
53,-0.03064525965,-0.02231216049,-0.4014416691,0.3333333333,0.846289026,0.5900090701
54,-0.02446164643,-0.01904953325,-0.6629029883,0.2777777778,0.8536555581,0.6223786171
55,-0.09093548858,-0.06998861663,-0.6087383377,0.2777777778,0.8919406238,0.7090210035
56,-0.06019929344,-0.04683448782,-0.5299753732,0.3055555556,0.8584803626,0.6133394344
57,0.1234903935,0.09577389644,-0.1956220762,0.2777777778,0.8411824574,0.5519582239
58,-0.04574055075,-0.03567840757,-0.263376618,0.3194444444,0.8871779894,0.5594842764
59,-0.1384947491,-0.1067194846,-0.5538501338,0.3888888889,0.8482687315,0.5608711566
60,0.1575912017,0.121032946,-0.2979884872,0.2916666667,0.8710377814,0.6457196598
61,-0.04946890579,-0.03757283629,-0.5260870166,0.3194444444,0.8506202013,0.5755140743
62,0.02355229154,0.01978625553,-0.3690283906,0.3472222222,0.8274075063,0.5230461798
63,-0.0931179403,-0.07346173595,-0.5620578965,0.3611111111,0.818891681,0.5423455754
64,-0.115215264,-0.08788044343,-0.247640688,0.4583333333,0.8509892683,0.5848121034
65,-0.02919029183,-0.02431183525,-0.4840871637,0.25,0.9043502816,0.5925229733
66,0.01554996855,0.01305050897,-0.5351857657,0.4722222222,0.8477754688,0.549499337
