row,MeanDiff,KMeans,LogReg,PCA,Random
MeanDiff,1,0.8889456115,0.6308464314,0.8420170962,0.01372399356
KMeans,0.8889456115,1,0.3490425843,0.9839282383,-0.01096456938
LogReg,0.6308464314,0.3490425843,1,0.2880197763,0.03542305614
PCA,0.8420170962,0.9839282383,0.2880197763,1,-0.01202510281
Random,0.01372399356,-0.01096456938,0.03542305614,-0.01202510281,1
