metric,point,mean,sd,ci_lo,ci_hi
midpoint_residual,0.8257434857,0.8180740061,0.04855032023,0.7266039237,0.9176798561
valence_offset,0.4241616896,0.3969620521,0.06806117544,0.2496927068,0.5160025435
markedness,0.7084766512,0.7111749656,0.06020080273,0.5960551614,0.8284772441
markedness_ratio,1.416953302,1.422349931,0.1204016055,1.192110323,1.656954488
apex_angle_deg,58.63558237,59.59276463,3.329723267,53.56788216,66.57794155
effective_vertices,6.139616688,6.05975934,0.3369276055,5.40719635,6.7204449
step_cosine,-0.5204794512,-0.5052964125,0.05026673209,-0.5938699859,-0.397501188
