metric,observed,null_mean,null_sd,null_min,null_max,p_value,n_sim
step_cosine,-0.8996177519,0.6010811367,0.3782321775,-0.6608027239,0.9876049973,0.000999000999,1000
midpoint_residual,2.03215351,0.2582727902,0.1703782194,0.04345804072,0.9741370269,0.000999000999,1000
