panel,level,pc1,pc2
raw,negative,-3.072556959,0.8957264346
raw,neutral,3.9086421,-1.395759452
raw,positive,-0.8360851414,0.5000330171
centered,negative,4.983259277,-3.93462495
centered,neutral,-4.909693383,0.508583563
centered,positive,-0.07356589349,3.426041387
