panel,level,pc1,pc2
raw,negative,7.883966633,-1.301263947
raw,neutral,-12.28457955,2.019232495
raw,positive,4.400612915,-0.7179685478
centered,negative,8.095228058,-4.8841319
centered,neutral,-12.44897848,1.921364908
centered,positive,4.353750425,2.962766992
