row,MeanDiff_mean,MeanDiff_std,KMeans_mean,KMeans_std,LogReg_mean,LogReg_std,PCA_mean,PCA_std,Random_mean,Random_std,n_seeds
MeanDiff,1,0,0.9967985563,0.0002413876649,0.7883160883,1.359739956e-16,0.4990828624,1.686772065e-08,0.03994788492,0.01967473036,3
KMeans,0.9967985563,0.0002413876649,1,0,0.7499435933,0.0004078435211,0.5171625196,0.01039093341,0.03999348228,0.01983254858,3
LogReg,0.7883160883,1.359739956e-16,0.7499435933,0.0004078435211,1,0,0.3436409182,6.733520624e-08,0.03208811388,0.01802657392,3
PCA,0.4990828624,1.686772065e-08,0.5171625196,0.01039093341,0.3436409182,6.733520624e-08,1,0,0.01479373172,0.02380710514,3
Random,0.03994788492,0.01967473036,0.03999348228,0.01983254858,0.03208811388,0.01802657392,0.01479373172,0.02380710514,1,0,3
