method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.921568597,0.02158451724,0.9666827603,0.01181417587,0.8
KMeans,0.4518194321,0.01853163582,0.9665794011,0.01391738756,0.78
LogReg,0.96001319,0.01110819278,0.9906322196,0.004697506129,0.89
PCA,0.4875057622,0.04574187704,0.6633306548,0.06293394802,0.81
