row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1665012017,7.141291607e-05,0.5634937085,0.0001565117764,3
neutral-negative,-0.1665012017,7.141291607e-05,1,0,0.8313036091,0.0004117274957,3
positive-negative,0.5634937085,0.0001565117764,0.8313036091,0.0004117274957,1,0,3
