row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.8533861137,0.0002190364861,-0.2508931283,6.419130436e-05,3
neutral-negative,-0.8533861137,0.0002190364861,1,0,0.7571349599,0.0002408403955,3
positive-negative,-0.2508931283,6.419130436e-05,0.7571349599,0.0002408403955,1,0,3
